,Y_bit,param_C,param_solver,Y_bit_pct,mean_test_score,precision,accuracy,recall,f1,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,random_seed
212,212,0.025,lbfgs,0.22491341991341993,0.5638313630229419,0.2727272727272727,0.7734126984126984,0.0010526315789473684,0.002097168822090178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
213,213,0.025,lbfgs,0.4170995670995671,0.5389081729268602,0.5355805243445693,0.5946031746031746,0.0278915545153111,0.053021876158694844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
214,214,0.025,lbfgs,0.32145021645021643,0.5428806769403196,0.3404255319148936,0.6780952380952381,0.003959415986142044,0.007827788649706457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
215,215,0.025,lbfgs,0.4372835497835498,0.5235603291124531,0.55,0.5788888888888889,0.028871391076115485,0.05486284289276808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
231,231,0.025,lbfgs,0.10638528138528139,0.6014838681989845,0.0,0.9007142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
244,244,0.025,lbfgs,0.4187012987012987,0.5481334344844094,0.5673758865248227,0.5756349206349206,0.029712163416898793,0.056467266631374635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
245,245,0.025,lbfgs,0.5473376623376623,0.5665341301598055,0.5608233507676733,0.5584920634920635,0.9490364025695931,0.7050214751577496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
246,246,0.025,lbfgs,0.49967532467532466,0.5537465563134797,0.5743041749502982,0.5424603174603174,0.3631934622033632,0.44497930104938865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
247,247,0.025,lbfgs,0.45111471861471863,0.5649617877217848,0.5358606557377049,0.5515079365079365,0.09141758433840237,0.15618933850978048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
250,250,0.025,lbfgs,0.18319264069264068,0.5667738588892275,0.14285714285714285,0.8103174603174603,0.0004192872117400419,0.0008361204013377926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
251,251,0.025,lbfgs,0.49444805194805197,0.5913501964421326,0.5991501416430595,0.5711904761904761,0.40653531955790484,0.48439736616089324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
252,252,0.025,lbfgs,0.15472943722943722,0.5792196824311112,0.2727272727272727,0.8417460317460318,0.0015082956259426848,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
253,253,0.025,lbfgs,0.4188636363636364,0.5924736108366023,0.5936768149882904,0.5896031746031746,0.09510410804727068,0.1639450282942603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
254,254,0.025,lbfgs,0.2675324675324675,0.5813616428720941,0.5394736842105263,0.731904761904762,0.012115839243498818,0.02369942196531792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
255,255,0.025,lbfgs,0.47243506493506493,0.5771746069633645,0.6033168982519049,0.5615873015873016,0.22489557226399332,0.3276533592989289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
267,267,0.025,lbfgs,0.12598484848484848,0.6163768418175287,0.6666666666666666,0.8751587301587301,0.010120177103099304,0.019937694704049845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
270,270,0.025,lbfgs,0.1328896103896104,0.6106768876025032,0.6666666666666666,0.8736507936507937,0.005012531328320802,0.009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
271,271,0.025,lbfgs,0.1307900432900433,0.6095569758604564,0.5,0.871904761904762,0.006815365551425031,0.013447432762836185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
285,285,0.025,lbfgs,0.2741233766233766,0.614244278676638,0.5,0.7266666666666667,0.03077816492450639,0.05798687089715537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
287,287,0.025,lbfgs,0.21329004329004328,0.6043682203625249,0.5348837209302325,0.7919047619047619,0.01750380517503805,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
366,366,0.025,lbfgs,0.13056277056277057,0.5832201052391678,0.3103448275862069,0.8722222222222222,0.005628517823639775,0.011056511056511056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
370,370,0.025,lbfgs,0.1792099567099567,0.5613674082634634,0.1935483870967742,0.8301587301587302,0.002828854314002829,0.005576208178438662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
371,371,0.025,lbfgs,0.12601731601731603,0.5671172974176699,0.25,0.8796031746031746,0.0026507620941020544,0.005245901639344263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
372,372,0.025,lbfgs,0.12654761904761905,0.5887636208001448,0.3333333333333333,0.8715873015873016,0.0006184291898577613,0.001234567901234568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
374,374,0.025,lbfgs,0.37014069264069266,0.5778259197433884,0.5307262569832403,0.6398412698412699,0.041666666666666664,0.07726718178121188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
375,375,0.025,lbfgs,0.2388095238095238,0.5676526222161142,0.48717948717948717,0.7799206349206349,0.006854256854256854,0.01351832088224831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
378,378,0.025,lbfgs,0.14542207792207792,0.5964176434999309,0.10526315789473684,0.856904761904762,0.0011185682326621924,0.002213613724405091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
379,379,0.025,lbfgs,0.1359199134199134,0.5839731257033086,0.375,0.8587301587301587,0.0033783783783783786,0.006696428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
